# Agda compoennts compatibilities

Name    | Vers  | Released   | Agda dep             | GHC dep
--------|-------|------------|----------------------|----------------
agda    | 2.6.3 | 2023-01-30 |                      | 8.0.2 - 9.4.4
stdlib  | 1.7.2 | 2022-02-01 | 2.6.3                |
stdlib  | 1.7.1 | 2021-11-22 | 2.6.2.{1,2}, 2.6.2   | GHC 9.2
stdlib  | 1.7   | 2021-06-20 | 2.6.2                | 
stdlib  | 1.6   | 2021-04-22 | 2.6.1.3, 2.6.1       |
stdlib  | 1.5   | 2021-01-26 | 2.6.1.{1,2,3}, 2.6.1 |
stdlib  | 1.4   | 2020-09-18 | 2.6.1, 2.6.1.1       |
stdlib  | 1.3   | 2020-03-17 | 2.6.1                |
stdlib  | 1.2   | 2019-11-11 | 2.6.0.1              |
stdlib  | 1.1   | 2019-06-29 | 2.6.0.1              |
stdlib  | 1.0.1 | 2019-04-23 | 2.6.0.1, 2.6.0       |
stdlib  | 1.0   | 2019-04-12 | 2.6.0                |
cubical | 0.5   |            | 2.6.3                |
cubical | 0.4   |            | 2.6.2.2              |
cubical | 0.3   |            | 2.6.2                |
cubical | 0.2   |            | 2.6.1.3              |
cubical | 0.1   |            | 2.6.0.1              |
