# Unicode ∷ Table of symbols


Ordinal | Attr     | Name                                              | Glyph
-------:|----------|---------------------------------------------------|------
0xa1    | Pu       | INVERTED EXCLAMATION MARK                         | ¡
0xa6    | Pu       | BROKEN BAR                                        | ¦
0xa7    | Pu       | SECTION SIGN                                      | §
0xa8    | Pu       | DIAERESIS                                         | ¨
0xa9    | Pu       | COPYRIGHT SIGN                                    | ©
0xaa    | Pu       | FEMININE ORDINAL INDICATOR                        | ª
0xab    | Pu       | LEFT-POINTING DOUBLE ANGLE QUOTATION MARK         | «
0xac    | Pu       | NOT SIGN                                          | ¬
0xae    | Pu       | REGISTERED SIGN                                   | ®
0xaf    | Pu       | MACRON                                            | ¯
0xb0    | Pu       | DEGREE SIGN                                       | °
0xb1    | Pu       | PLUS-MINUS SIGN                                   | ±
0xb9    | Nr       | SUPERSCRIPT ONE                                   | ¹
0xb2    | Nr       | SUPERSCRIPT TWO                                   | ²
0xb3    | Nr       | SUPERSCRIPT THREE                                 | ³
0xbc    | Nr       | VULGAR FRACTION ONE QUARTER                       | ¼
0xbd    | Nr       | VULGAR FRACTION ONE HALF                          | ½
0xbe    | Nr       | VULGAR FRACTION THREE QUARTERS                    | ¾
0xb4    | Pu       | ACUTE ACCENT                                      | ´
0xb5    | Pu       | MICRO SIGN                                        | µ
0xb6    | Pu       | PILCROW SIGN                                      | ¶
0xb7    | Pu       | MIDDLE DOT                                        | ·
0xb8    | Pu       | CEDILLA                                           | ¸
0xba    | Pu       | MASCULINE ORDINAL INDICATOR                       | º
0xbb    | Pu       | RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK        | »
0xbf    | Pu       | INVERTED QUESTION MARK                            | ¿
0x28c   | Sf Tf Pa | LATIN SMALL LETTER TURNED V                       | ʌ




Name                                            |0x00000| Glyph | Attr
------------------------------------------------|-------|-------|-----------
LATIN CAPITAL LETTER THORN                      | 000de | Þ     | Lc
LATIN CAPITAL LETTER OPEN O                     | 00186 | Ɔ     | Lc  Tf
LATIN CAPITAL LETTER REVERSED E                 | 0018e | Ǝ     | Lc  Tf
LATIN CAPITAL LETTER TURNED M                   | 0019c | Ɯ     | Lc  Tf
LATIN SMALL   LETTER ETH                        | 000f0 | ð     | Ls
LATIN SMALL   LETTER THORN                      | 000fe | þ     | Ls
LATIN SMALL   LETTER TURNED A                   | 00250 | ɐ     | Ip  Tf
LATIN SMALL   LETTER ALPHA                      | 00251 | ɑ     | Ip
LATIN SMALL   LETTER TURNED ALPHA               | 00252 | ɒ     | Ip  Tf
LATIN SMALL   LETTER OPEN O                     | 00254 | ɔ     | Ip  Tf
LATIN SMALL   LETTER REVERSED E                 | 00258 | ɘ     | Ip  Tf
LATIN SMALL   LETTER SCHWA                      | 00259 | ə     | Ip  Tf
LATIN SMALL   LETTER OPEN E                     | 0025b | ɛ     | Ip  Tf
LATIN SMALL   LETTER REVERSED OPEN E            | 0025c | ɜ     | Ip
LATIN SMALL   LETTER CLOSED REVERSED OPEN E     | 0025e | ɞ     | Ip
LATIN SMALL   LETTER DOTLESS J WITH STROKE      | 0025f | ɟ     | Ip
LATIN SMALL   LETTER SCRIPT G                   | 00261 | ɡ     | Ip
LATIN SMALL   LETTER GAMMA                      | 00263 | ɣ     | Ip
LATIN SMALL   LETTER RAMS HORN                  | 00264 | ɤ     | Ip
LATIN SMALL   LETTER TURNED H                   | 00265 | ɥ     | Ip  Tf
LATIN SMALL   LETTER I WITH STROKE              | 00268 | ɨ     | Ip
LATIN SMALL   LETTER L WITH BELT                | 0026c | ɬ     | Ip
LATIN SMALL   LETTER LEZH                       | 0026e | ɮ     | Ip
LATIN SMALL   LETTER TURNED M                   | 0026f | ɯ     | Ip  Tf
LATIN SMALL   LETTER TURNED M WITH LONG LEG     | 00270 | ɰ     | Ip
LATIN SMALL   LETTER BARRED O                   | 00275 | ɵ     | Ip
