# Alchemical symbols

Name                          | Hex     | Glyph
------------------------------|---------|-----------
Air                           | 0x1f701 | 🜁
Alembic                       | 0x1f76a | 🝪
Alkali                        | 0x1f736 | 🜶
Alkali-2                      | 0x1f737 | 🜷
Alum                          | 0x1f745 | 🝅
Alum                          | 0x1f746 | 🝆
Amalgam                       | 0x1f75b | 🝛
Antimony Ore                  | 0x1f72b | 🜫
Aqua Regia                    | 0x1f706 | 🜆
Aqua Regia-2                  | 0x1f707 | 🜇
Aqua Vitae                    | 0x1f708 | 🜈
Aqua Vitae-2                  | 0x1f709 | 🜉
aquafortis                    | 0x1f705 | 🜅
Arsenic                       | 0x1f73a | 🜺
Ashes                         | 0x1f757 | 🝗
Auripigment                   | 0x1f73d | 🜽
Bath Of Mary                  | 0x1f76b | 🝫
Bath Of Vapours               | 0x1f76c | 🝬
Bismuth Ore                   | 0x1f73e | 🜾
Black Sulfur                  | 0x1f70f | 🜏
Borax                         | 0x1f742 | 🝂
Borax-2                       | 0x1f743 | 🝃
Borax-3                       | 0x1f744 | 🝄
Brick                         | 0x1f759 | 🝙
Caduceus                      | 0x1f750 | 🝐
Calx                          | 0x1f74c | 🝌
Caput Mortuum                 | 0x1f74e | 🝎
Cinnabar                      | 0x1f713 | 🜓
Copper Antimoniate            | 0x1f725 | 🜥
Copper Ore                    | 0x1f720 | 🜠
Crocus Of Copper              | 0x1f723 | 🜣
Crocus Of Copper-2            | 0x1f724 | 🜤
Crocus Of Iron                | 0x1f71e | 🜞
Crucible                      |         | 🝥
Crucible-2                    |         | 🝦
Crucible-3                    |         | 🝧
Crucible-4                    |         | 🝨
Crucible-5                    |         | 🝩
Day-Night                     |         | 🝰
Dissolve                      |         | 🝡
Dissolve-2                    |         | 🝢
Distill                       |         | 🝠
earth                         | 0x1f703 | 🜃
fire                          |         | 🜂
Gold                          |         | 🜚
Gum                           |         | 🝊
Half Dram                     |         | 🝲
Half Ounce                    |         | 🝳
Horse Dung                    |         | 🝖
Hour                          |         | 🝮
Iron Ore                      |         | 🜜
Iron Ore-2                    |         | 🜝
Iron-Copper Ore               |         | 🜡
Lead Ore                      |         | 🜪
Lodestone                     | 0x1f753 | 🝓
Marcasite                     |         | 🜸
Mercury Sublimate             |         | 🜐
Mercury Sublimate-2           |         | 🜑
Mercury Sublimate-3           |         | 🜒
Month                         |         | 🝱
Night                         |         | 🝯
Nitre                         |         | 🜕
Oil                           |         | 🝇
Philosophers Sulfur           |         | 🜎
Pot Ashes                     | 0x1f758 | 🝘
Powder                        |         | 🝋
Powdered Brick                |         | 🝚
Precipitate                   |         | 🝟
Purify                        |         | 🝣
Putrefaction                  |         | 🝤
Quick Lime                    |         | 🝁
quintessence                  |         | 🜀
Realgar                       |         | 🜻
Realgar-2                     |         | 🜼
Regulus                       | 0x1f732 | 🜲
Regulus Of Antimony           |         | 🜰
Regulus Of Antimony-2         |         | 🜱
Regulus Of Iron               |         | 🜟
Regulus-2                     |         | 🜳
Regulus-3                     |         | 🜴
Regulus-4                     |         | 🜵
Retort                        |         | 🝭
Rock Salt                     | 0x1f718 | 🜘
Rock Salt-2                   |         | 🜙
Sal-Ammoniac                  |         | 🜹
Salt                          |         | 🜔
Salt Of Antimony              |         | 🜭
Salt Of Copper Antimoniate    |         | 🜦
Scepter Of Jove               |         | 🝏
Silver                        |         | 🜛
Soap                          |         | 🝔
Spirit                        | 0x1f748 | 🝈
Starred Trident               |         | 🝒
Stratum Super Stratum         |         | 🝜
Stratum Super Stratum-2       |         | 🝝
Sublimate Of Antimony         |         | 🜬
Sublimate Of Copper           |         | 🜢
Sublimate Of Salt Of Antimony | 0x1f701 | 🜮
Sublimate Of Salt Of Copper   |         | 🜧
Sublimation                   |         | 🝞
Sulfur                        | 0x1f70d | 🜍
Tartar                        |         | 🜿
Tartar-2                      |         | 🝀
Tin Ore                       |         | 🜩
Tincture                      |         | 🝉
Trident                       |         | 🝑
Tutty                         | 0x1f74d | 🝍
Urine                         |         | 🝕
Verdigris                     |         | 🜨
Vinegar                       | 0x1f70a | 🜊
Vinegar Of Antimony           | 0x1f72f | 🜯
Vinegar-2                     | 0x1f70b | 🜋
Vinegar-3                     | 0x1f70c | 🜌
Vitriol                       | 0x1f716 | 🜖
Vitriol-2                     | 0x1f717 | 🜗
Water                         | 0x1f704 | 🜄
