YEAR, TITLE, AUTHORS, MS, PT, W, A, PLa, TAGS
2021 ,  Programming with Categories (draft)                                                                    ,  Brendan Fong; Bartosz Milewski; David Spivak                                       ,   , BOOK   ,   ,    , HS ,  CT
2021 ,  Witness Me - Constructive Arguments Must Be Guided with Concrete Witness                               ,  Hiromi Ishii                                                                       ,   , PEARL  ,   ,    , HS ,  TT
2021 ,  Discrete Mathematics - An Open Introduction 3. edition                                                 ,  Oscar Levin                                                                        ,   , BOOK   ,   ,    ,    ,  DM
2020 ,  Spinal atomic lambda-calculus                                                                          ,  D. Sherratt; W. Heijltjes; T. Gundersen; M. Parigot                                , LC,        ,   ,    ,    ,  LC
2018 ,  Reverse Mathematics - Proofs from the Inside Out                                                       ,  John Stillwell                                                                     ,   , BOOK   ,   ,    ,    ,  RM
2018 ,  The Little Typer                                                                                       ,  Daniel Friedman; David Christiansen                                                ,   , SERIES ,   ,    , SCH,  TT
2017 ,  Encoding Data in Lambda Calculus: An Introduction                                                      ,  Frank (Peng) Fu                                                                    , LC,        ,   ,    ,    ,  LC
2017 ,  Slicing the truth - on the computability theoretic and reverse mathematical                            ,  Benedict Eastaugh                                                                  ,   ,        ,   ,    ,    ,  RM
2016 ,  Quasipolynomial normalisation in deep inference via atomic flows and threshold formulae                ,  M. Parigot; T. Gundersen; A. Guglielmi; P. Bruscoli                                , LC,        ,   ,    ,    ,  LC
2016 ,  Set existence and closure conditions: unravelling the standard view of reverse mathematics             ,  Benedict Eastaugh                                                                  ,   ,        ,   ,    ,    ,  RM
2016 ,  Category Theory for Programmers                                                                        ,  Bartosz Milewski                                                                   ,   , BOOK   ,   ,    , HS ,  CT
2015 ,  The Little Prover                                                                                      ,  Daniel Friedman; Carl Eastlund                                                     ,   , SERIES ,   ,    , SCH,  PT
2015 ,  Reverse Mathematics - A Philosophical Account                                                          ,  Benedict Eastaugh                                                                  ,   , THESIS ,   ,    ,    ,  RM
